date;morning;day;evening;
08.01.1998;-22.0;;-29.0;
09.01.1998;-36.0;;-34.0;
10.01.1998;-38.0;;-37.0;
12.01.1998;-41.5;-35.0;-39.0;
13.01.1998;-41.5;-35.0;-38.0;
14.01.1998;-41.5;-36.0;-39.0;
15.01.1998;-40.0;-33.0;-38.0;
16.01.1998;-40.0;-37.0;-37.0;
17.01.1998;-33.0;-24.0;-21.0;
18.01.1998;-16.0;-16.0;-20.0;
19.01.1998;-20.0;-16.0;-16.0;
20.01.1998;-15.0;-11.0;-11.0;
21.01.1998;-13.0;-10.0;-10.0;
22.01.1998;-10.0;-6.0;-18.0;
23.01.1998;-22.0;-19.0;-20.0;
24.01.1998;-22.0;-18.0;-20.0;
25.01.1998;-20.0;-18.0;-21.0;
26.01.1998;-18.0;-12.0;-4.0;
27.01.1998;-7.0;-4.0;-8.0;
28.01.1998;-7.0;-8.0;-8.0;
29.01.1998;-13.0;-6.0;-15.0;
30.01.1998;-20.0;-12.0;-20.0;
31.01.1998;-25.0;-15.0;-24.0;
01.02.1998;-28.0;-17.0;-26.0;
02.02.1998;-30.0;-20.0;-26.0;
03.02.1998;-29.0;-17.0;-15.5;
04.02.1998;-13.5;-8.0;-10.0;
05.02.1998;-18.0;-11.0;-21.0;
06.02.1998;-27.5;-17.0;-25.0;
07.02.1998;-23.0;-13.0;-20.0;
08.02.1998;-23.0;-10.0;-22.0;
09.02.1998;-21.5;-14.0;-12.0;
10.02.1998;-16.0;-20.0;-22.0;
11.02.1998;-23.0;-20.0;-23.0;
12.02.1998;-20.0;-9.0;-10.0;
13.02.1998;-9.0;-2.0;-5.5;
14.02.1998;-10.0;-2.0;-10.0;
15.02.1998;-11.0;-2.0;-5.0;
16.02.1998;-7.0;1.0;-3.0;
17.02.1998;-11.0;-9.0;-17.0;
18.02.1998;-24.0;-14.0;-22.0;
19.02.1998;-28.0;-15.0;-18.0;
20.02.1998;-21.0;-10.0;-15.0;
21.02.1998;-22.0;-7.0;-17.0;
22.02.1998;-19.0;-5.0;-13.0;
23.02.1998;-4.5;-5.0;-10.0;
24.02.1998;-4.5;1.0;-2.0;
25.02.1998;-2.0;3.0;0.0;
26.02.1998;2.0;5.0;4.0;
27.02.1998;-2.0;5.0;-3.0;
28.02.1998;-6.0;2.0;-3.0;
01.03.1998;-5.0;-1.0;-8.0;
02.03.1998;-14.0;0.0;-9.0;
03.03.1998;-15.0;0.0;-7.0;
04.03.1998;-15.0;0.0;-7.0;
05.03.1998;-14.0;0.0;-7.0;
06.03.1998;-3.0;1.0;-3.0;
07.03.1998;-8.0;2.0;-7.0;
08.03.1998;-13.0;-2.0;-9.0;
09.03.1998;-13.0;2.0;-10.0;
10.03.1998;-14.0;2.0;-2.0;
11.03.1998;-6.0;-1.5;-12.0;
12.03.1998;-16.0;-1.0;-6.0;
13.03.1998;-9.0;3.0;-3.0;
14.03.1998;-4.0;-5.0;-15.0;
15.03.1998;-26.0;-21.0;-24.0;
16.03.1998;-32.0;-14.0;-21.0;
17.03.1998;-28.0;-9.0;-13.0;
